treatment,outcome,budget_remaining,global_slope,global_cont,step_frac,slope_improvement,block_farm_slope,block_forest_slope,block_slope_gap,block_swap_potential,block_invested
1,-0.3594943881034851,0.8399999737739563,0.2116716504096985,0.35902559757232666,0.1599999964237213,0.00036785981501452625,0.3203125,0.372802734375,-0.052398681640625,0.4091796875,0.0
1,-2.155271530151367,0.8299999833106995,0.21170344948768616,0.35919851064682007,0.17000000178813934,0.00021770081366412342,0.335693359375,0.5390625,-0.2032470703125,0.2174072265625,0.0
1,0.24816378951072693,0.8199999928474426,0.21181979775428772,0.35922902822494507,0.18000000715255737,-0.0003317556984256953,0.4013671875,0.474853515625,-0.07366943359375,0.4091796875,0.0
1,1.545481562614441,0.8100000023841858,0.2118062824010849,0.3592239320278168,0.1899999976158142,-0.00026794165023602545,0.36376953125,0.33203125,0.031890869140625,0.138916015625,0.0
1,0.31212854385375977,0.800000011920929,0.21179038286209106,0.3592798709869385,0.20000000298023224,-0.00019285132293589413,0.279296875,0.29150390625,-0.0121612548828125,0.418701171875,0.0
1,0.18292175233364105,0.7900000214576721,0.21177911758422852,0.3593510687351227,0.20999999344348907,-0.00013964259414933622,0.27880859375,0.231201171875,0.047454833984375,0.34619140625,0.0
1,-0.281800776720047,0.7799999713897705,0.2117735594511032,0.3594070374965668,0.2199999988079071,-0.00011341625213390216,0.3583984375,0.46142578125,-0.10321044921875,0.28564453125,0.0
1,0.005974010098725557,0.7699999809265137,0.21178697049617767,0.359386682510376,0.23000000417232513,-0.0001767740468494594,0.395751953125,0.326904296875,0.06890869140625,0.13330078125,0.0
1,0.40976080298423767,0.7599999904632568,0.21178552508354187,0.3593714237213135,0.23999999463558197,-0.00016996124759316444,0.30126953125,0.0655517578125,0.235595703125,0.1817626953125,0.0
1,0.04758555814623833,0.75,0.21178196370601654,0.3593815863132477,0.25,-0.00015311215247493237,0.30419921875,0.283447265625,0.0206756591796875,0.2105712890625,0.0
1,-0.36687666177749634,0.7400000095367432,0.21178095042705536,0.3594019412994385,0.25999999046325684,-0.0001483081723563373,0.4462890625,0.462890625,-0.01654052734375,0.363525390625,0.0
1,0.3292607367038727,0.7300000190734863,0.21180374920368195,0.359447717666626,0.27000001072883606,-0.00025598524371162057,0.363037109375,0.30419921875,0.05877685546875,0.360107421875,0.0
1,1.0336170196533203,0.7200000286102295,0.21179194748401642,0.3595239818096161,0.2800000011920929,-0.00020026654237881303,0.3857421875,0.373046875,0.0126953125,0.466552734375,0.0
1,0.31239116191864014,0.7099999785423279,0.21173985302448273,0.3595595955848694,0.28999999165534973,4.572601756080985e-05,0.28955078125,0.28466796875,0.0047607421875,0.5,0.0
1,0.5132915377616882,0.699999988079071,0.21173034608364105,0.3595748543739319,0.30000001192092896,9.068361396202818e-05,0.354736328125,0.54931640625,-0.194580078125,0.4091796875,0.0
1,0.03358825296163559,0.6899999976158142,0.21170467138290405,0.3595951795578003,0.3100000023841858,0.00021191409905441105,0.36962890625,0.333251953125,0.03643798828125,0.290283203125,0.0
1,0.23079527914524078,0.6800000071525574,0.2117089033126831,0.3596765697002411,0.3199999928474426,0.00019194155174773186,0.13818359375,0.1973876953125,-0.059234619140625,0.5,0.0
1,-1.7046180963516235,0.6700000166893005,0.21170231699943542,0.3597528338432312,0.33000001311302185,0.00022304388403426856,0.5419921875,0.51220703125,0.0298309326171875,0.47607421875,0.0
