swappable_index,source_index,unit_id,land_use,block_id
28759,50258,511011200005,farmland,1523
28760,50260,511011103003,forest,468
28761,50262,511011201013,farmland,1692
28762,50263,511011111009,forest,1431
28763,50264,511011111012,forest,1453
28764,50265,511011103003,farmland,465
28765,50266,511011103002,farmland,453
28766,50267,511011103002,forest,452
28767,50268,511011200006,farmland,-1
28768,50272,511011100013,farmland,130
28769,50273,511011213009,forest,2956
28770,50277,511011103002,farmland,451
28771,50280,511011203002,forest,1807
28772,50282,511011202010,farmland,1744
28773,50284,511011201011,forest,1676
28774,50285,511011111010,forest,1436
28775,50287,511011100015,farmland,141
28776,50288,511011103004,farmland,488
28777,50289,511011213008,forest,2948
28778,50291,511011103002,farmland,452
28779,50295,511011200002,farmland,1487
28780,50296,511011200010,forest,1573
28781,50298,511011200005,farmland,1523
28782,50301,511011201013,farmland,1691
28783,50302,511011200004,forest,1499
28784,50305,511011107008,forest,1043
28785,50306,511011103003,forest,462
28786,50308,511011202004,farmland,1711
28787,50310,511011202004,farmland,1712
28788,50311,511011213007,forest,2941
28789,50315,511011103009,farmland,543
28790,50316,511011103003,forest,470
28791,50317,511011200011,forest,1589
28792,50319,511011201011,forest,1672
28793,50320,511011203012,forest,1880
28794,50321,511011103004,farmland,483
28795,50322,511011202010,farmland,1743
28796,50325,511011201013,farmland,1693
28797,50326,511011103003,farmland,462
28798,50327,511011200010,forest,1572
28799,50328,511011111010,forest,1435
28800,50332,511011203008,farmland,1849
28801,50333,511011200006,farmland,1529
28802,50334,511011111012,farmland,1449
28803,50336,511011111011,forest,1445
28804,50337,511011201008,farmland,1655
28805,50338,511011200005,farmland,1522
28806,50339,511011202004,forest,1712
28807,50340,511011107006,farmland,1035
28808,50346,511011213010,farmland,2963
28809,50348,511011103004,forest,485
28810,50349,511011213009,farmland,2956
28811,50352,511011203003,farmland,-1
28812,50353,511011103003,forest,471
28813,50354,511011202004,farmland,1710
28814,50356,511011100014,forest,137
28815,50357,511011111011,forest,1444
28816,50361,511011103002,farmland,452
28817,50363,511011213009,farmland,2956
28818,50364,511011103003,forest,471
28819,50365,511011111009,forest,1429
28820,50367,511011201013,farmland,1691
28821,50370,511011213009,forest,2955
28822,50371,511011111012,forest,1455
28823,50374,511011103004,farmland,487
28824,50377,511011213009,farmland,2956
28825,50378,511011203007,forest,1843
28826,50380,511011103004,forest,486
28827,50381,511011201009,farmland,1656
28828,50382,511011100013,farmland,131
28829,50388,511011103003,forest,469
28830,50389,511011103003,farmland,469
28831,50390,511011201013,farmland,1691
28832,50391,511011201008,forest,1652
28833,50394,511011200004,forest,1504
28834,50395,511011200003,forest,1497
28835,50397,511011200003,forest,1492
28836,50398,511011111012,farmland,1449
28837,50400,511011200011,forest,1592
28838,50401,511011200002,forest,1486
28839,50402,511011213009,farmland,2955
28840,50403,511011213009,forest,2955
